step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.244466781616211,4.227189540863037,0.01,-100.0
1,1,3.551750421524048,3.545802593231201,0.01,-100.0,0.01597518753260374,0.012050240708049387,0.04367278190329671,0.27538564056158066
2,2,3.810351610183716,3.6638970375061035,0.01,-100.0,0.0178727675229311,0.17912706639617682,0.4242410268634558,0.5746759474277496
3,3,3.36529541015625,3.957380771636963,0.01,-100.0,0.0206355769187212,1.7735658884048462,4.494059443473816,1.9619806706905365
4,4,7.02177095413208,6.404181003570557,0.01,-100.0,0.022849931847304106,4.471937566995621,12.417887091636658,2.163630485534668
5,5,3.990943193435669,3.987755060195923,0.01,-100.0,0.024004599079489708,6.18552839756012,7.583241581916809,1.5196055173873901
6,6,3.8091468811035156,3.8990378379821777,0.01,0.19338782332545792,0.02484755078330636,11.447077989578247,34.00002646446228,1.9206883907318115
7,7,3.5106844902038574,3.6129050254821777,0.01,0.19298226964262113,0.025578171014785767,15.02732104063034,52.30996227264404,2.1987326741218567
8,8,3.544644832611084,3.522887945175171,0.01,0.1926165725051951,0.026329299435019493,17.292149782180786,66.81723117828369,2.266655147075653
9,9,3.51853084564209,3.7060062885284424,0.01,0.19261163660317782,0.026820817962288857,20.94920128583908,76.52723407745361,2.3195061683654785
10,10,3.5585310459136963,3.6293859481811523,0.01,0.19288995589884092,0.027132539078593254,26.403628885746002,93.87638854980469,2.3747364282608032
