step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.2346930503845215,4.242544651031494,0.01,-100.0
1,1,3.4163625240325928,3.431057929992676,0.01,-100.0,0.015963283833116293,0.01305162231437862,0.043946960009634495,0.2695557028055191
2,2,3.962181329727173,4.144853115081787,0.01,-100.0,0.017653606366366148,0.17966414242982864,0.40228329598903656,0.8024706393480301
3,3,4.187053680419922,4.309506893157959,0.01,-100.0,0.0201652436517179,1.3011064901947975,4.396521359682083,1.9510172605514526
4,4,3.6646621227264404,3.8143067359924316,0.01,-100.0,0.022003857884556055,2.871019273996353,7.336183965206146,2.092504143714905
5,5,3.675724506378174,3.563279628753662,0.01,-100.0,0.02286047860980034,7.163099825382233,17.621220290660858,2.320020377635956
6,6,3.5308916568756104,3.4773361682891846,0.01,0.2017720590286656,0.023353036027401686,10.34831964969635,22.098037242889404,1.9070090651512146
7,7,3.5585598945617676,3.818904161453247,0.01,0.2019785755193017,0.024092319421470165,13.535162568092346,32.28075981140137,1.972485601902008
8,8,3.7490246295928955,3.517387866973877,0.01,0.2011953234654599,0.02483873115852475,17.712034583091736,42.66185212135315,2.130947768688202
9,9,3.445049285888672,3.5185766220092773,0.01,0.20034304328745625,0.025254106614738703,19.997796416282654,51.6243257522583,2.219302237033844
10,10,3.445429801940918,3.5270678997039795,0.01,0.20019025430523352,0.02530619641765952,23.728968143463135,59.26016807556152,2.1944971680641174
