step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.2201151847839355,4.211945533752441,0.01,-100.0
1,1,3.521399736404419,3.62007999420166,0.01,-100.0,0.016065881121903658,0.012533849687315524,0.04377102479338646,0.27112288773059845
2,2,3.8193905353546143,3.8185055255889893,0.01,-100.0,0.017736443784087896,0.14151091128587723,0.48640116304159164,0.5399087220430374
3,3,3.628594398498535,3.6082615852355957,0.01,-100.0,0.020318198017776012,1.1759494692087173,3.979557953774929,2.148572564125061
4,4,8.730143547058105,8.409978866577148,0.01,-100.0,0.02246428094804287,2.8388058841228485,9.770353615283966,1.8687348663806915
5,5,3.775987148284912,3.827690362930298,0.01,-100.0,0.02366042695939541,7.135420083999634,8.744903564453125,2.6641037464141846
6,6,3.565112829208374,3.7026028633117676,0.01,0.19579803070668023,0.024176510982215405,9.101085603237152,25.029102325439453,1.4214273393154144
7,7,3.338766098022461,3.582087993621826,0.01,0.19568393035996645,0.02480317745357752,12.3768949508667,37.240681648254395,2.078723192214966
8,8,3.6602718830108643,3.545870780944824,0.01,0.19524226983718834,0.025340279564261436,16.219703197479248,48.76724720001221,2.1996642351150513
9,9,3.629486083984375,3.5880026817321777,0.01,0.1954924797484172,0.025714468210935593,19.946604013442993,59.50431680679321,2.3731254935264587
10,10,3.439030408859253,3.542647361755371,0.01,0.19586612852247515,0.02570413751527667,23.47040343284607,69.2840404510498,2.4443201422691345
